customer_id,customer_state,customer_city,cohort_month
8f58cbeb2f1e39cbe3870fcf2e29156f,PR,curitiba,
19c1a6fa080ccbfedcea7cbc7adf792e,RJ,nova iguacu,2017-01
ecabe3ca28ddb8fea6ff929fa6fcfed4,SP,guarulhos,2017-12
4b79dec4e8bbff189bff1a4dc94df8ca,SP,campinas,2018-04
9b244774abfcf0e9dddff7ee8b6ec8b9,SC,joinville,
986820f1a1c7b6fd6e8c034abc6d6dfd,RJ,nova iguacu,2017-02
a72e2dd69d6cc869054a9c2ada76c3dc,RJ,rio de janeiro,2017-12
a33ccd3ae0a555ebb8ed0e2fd6acc88c,SP,campinas,
d0c153fdc0fe619fd3cdbc4e5f79c582,RJ,rio de janeiro,2018-08
5ae1db50a0bb84b829c5bcdf84cc3caf,SP,sao paulo,2017-06
ece94eb60db530503fb78cba116ce7f6,RS,caxias do sul,
b0c52ec1ea7d5efea4ad445d32eeedab,SP,campinas,2017-05
5f7499a889cffbfbcc4baa092ddb6a5c,SP,guarulhos,
9d8d176efd8dbeab93c255aa482ea1ab,PB,interior,2017-10
b98560bc7a0eea0965089c83a88595ae,PR,curitiba,2017-08
1b1a4cbc2a5a9a0aabfae67d0eb5e4dd,SP,campinas,2017-05
08f50fcbacb7addc3b9cb9bbadd8d71f,BA,feira de santana,2017-08
ce98fc5016ef2fb4b5d3a92e7aed3387,PR,londrina,2017-06
ebcc2a35d556cc417aadfc2e0b8be7d9,SP,campinas,2018-06
a48ccfb559fc29847ea37cbd9e5f3a1a,SP,guarulhos,2017-02
d0de58f26db4bae05b78377d5fbbdddb,RJ,niteroi,
1bf4c307ff6acea3420fdddd501b2cae,SP,sao paulo,2017-08
9c0fb8acbd1686ca9d1b3c9f2bef2993,MG,contagem,2018-01
3df0a0aabda4e99d0d6dc441730cd712,SP,guarulhos,2017-07
9c5cdedaaabd5642aba4d917b4ef516c,SC,florianopolis,2018-02
60fdcc8ddaf609a59e462bbe90ab4eab,PR,curitiba,2018-02
fc2bc5ebc36db10d1818fddf9774ab1e,RS,porto alegre,2017-11
bb89dcf87bdb9bb5e1ecadacc3f12ba8,MG,contagem,2017-02
cf2609cdf89433cc796d20e3def23bcd,SP,sao paulo,2018-03
fbcddb09dc77f63fd6b5dcce6a0a21b5,RJ,niteroi,2018-02
86aab8fa3d0e9eff0eef9ec752e8baac,RJ,niteroi,
e19fafea5b618f5b31f48e2b9d29501a,SP,guarulhos,2017-04
1aae3084fdd71da34fda1b6bc9f01b02,SP,santo andre,
7fc3cbad7239fc9e02cdb0a031ed9baf,MG,belo horizonte,2017-06
1845dd921b30b159c9ad525594d1c194,PA,interior,2017-08
594eeed90fab98bf2a1af8475f0e3acc,MG,contagem,2017-11
1f4f52aecf4a475e617ab2feb6dbebe1,MG,contagem,2018-03
962b35afa17a3ef6fcfe3506254c0678,SP,sao paulo,2018-04
7d4bba41ceff8adb1e8f980769c4da99,RJ,rio de janeiro,
36ee2e63de0aafd7a95ffc8a05c3af71,BA,salvador,2017-03
9e2207f39fbf36a22ff64f9a20a940ed,RJ,nova iguacu,2017-09
caf4e2cf9b8a6aba76f1a8aafc48f9cd,RJ,niteroi,
fb3a2a5e0aca03d76daebaa6abbbb0af,MG,uberlandia,2017-08
7a0d72777e5ede16707accd5fcf88cb2,RJ,nova iguacu,2017-05
695becddb4aece5ebcdef14a5aac9ced,SP,sao paulo,2017-10
8cc5cb2ecbba1db6cabae42468c1bf2c,MG,uberlandia,2018-03
4dedda80dcea9cfdccfb7dba901edb28,SP,campinas,2017-11
1dd3f3c0bbeca44eb5a8944cf43b0f59,DF,brasilia,
bed26b3202dcae6dda56d6fa3ceb1350,SP,sao paulo,
8cec31ce9fd0fee7aafc41e711e883fd,MG,belo horizonte,
ebe1a1b6ff659ccebb9afb7ca0aabc09,PR,curitiba,2018-03
020fc4ee9db46aa033ffacc4cc10dffc,SP,santo andre,2017-05
26ffceabbcd6ae24d29f6410d73cd019,SC,joinville,
a2e73c99a5b7b18a7e3a95b99acb7030,BA,feira de santana,2017-07
fdb84607fa2f62cba30bd5bff218d71e,PA,interior,
e8cbdceffea93baafbbfa03ce2c286b2,SP,santos,2017-01
958bfdaedfcbfc2c4dc1c4ad2e30b5fd,MG,belo horizonte,
5d5bbe57c10de0cc2ae2c9cbb3b35efc,SP,santo andre,
6e74f7e2ed003cfa81debdb92f8d8cbf,DF,brasilia,2017-03
2ecda6c0feded09eec7c82bab0f1eb68,SP,sao paulo,2017-04
8dfb1b1d9211c8d9dbd9a9d2ee0bc20f,SP,campinas,2017-04
b7effd7cfd939b04045d5ae7a44f7102,MG,belo horizonte,2017-05
d24bf69deacc635d62bcaabbd38da8b3,MA,interior,
35e71cbebe2104476bf6fffaae06cb88,SP,santo andre,2017-02
af6cc03ffcbec88e18a7fe63e3cd04e8,RJ,niteroi,2017-06
edaca6daff6db35daae4c8e5d6d6eff4,AL,interior,
cd32a3e0693fdb91dbee2f9d1845d400,SC,joinville,2018-04
f2bfc3fdffeff7dd6ca7dc8e5cf5dd6a,PE,recife,2017-05
4d1ae1fe23cb4b9a349d6cf4cae78a9d,MG,belo horizonte,2017-07
80e8c495efbaffeea50bdefe5ae5dec0,SP,santo andre,
bea38f44e9b414a5d8ddd36867cae21a,RS,porto alegre,2017-02
8dea94ffb071b79d8d19eefcda643bcc,SP,campinas,2017-04
eade8fa8eccb4211aea28cec01bcf78e,SC,florianopolis,2018-01
f1d3a8fecfc7efa8b6f4c82acbcfa33f,SP,sao paulo,2017-06
bde6e821aeb0cc6ab3ae9c21db4b0cbb,SP,santos,2017-04
9cfbf7b42c546cfd472d158d8159fb1a,SP,guarulhos,2018-06
cb27c65216a3bebcd8d5ffe3c5ee8be9,SP,santos,2017-09
f8deaffa5aecdbddfedb41cbe9882e5b,SP,guarulhos,2018-02
48694b29c3797d4408ad34ae59cbf7ad,ES,vitoria,2018-07
4cd32864304d8bff4919127ef5d30e76,SP,guarulhos,2018-03
ff4f04c5dcdfd9fe19eb0df20cbfa8fd,BA,salvador,2017-05
07d81fcf8d71bc4f3fbfbb2a8eddcb45,MS,interior,2017-09
20ce2a5edb0bbcc13adb6a5b5b00b2d9,SP,guarulhos,2017-09
eeebf10e3e78fba1cf61f4879f9b7be5,SP,campinas,2017-01
2f3af912cad33350c9aa3beaf9e021ed,SP,guarulhos,2017-05
21dc06b1da6ce05fccb16e07684afff2,PR,londrina,2017-10
5fdfcf20a6dbdaa361c71faffa9eefa7,MG,belo horizonte,2017-09
aeea476fafa603ae70d8e79a1def5d11,PR,londrina,2017-09
0dea6be5ffecdec0a4fbd444ef8866c2,SP,santos,2017-09
c0694a84a2fe9cfa0846d5cb95d9038b,DF,brasilia,2018-07
0fe18a29d75d6b5bbae6edec2ad26d2a,SC,joinville,
2474ae5ae7c6aab843fd68ca6bead9ab,SP,santos,2018-01
1644cfebecef9b41a1629dd500bc0a2f,PA,interior,2017-09
bb0f1d0165fb8fec273ccdeeb5aa6aa2,RJ,rio de janeiro,
636de3da5d40e95e193bb152ea968dba,RJ,rio de janeiro,2017-09
37afe90fd3a07a0da00e65bab2b7a7ce,RS,porto alegre,2017-08
5ed89f60b7d9afb6fafa3fde66b006d1,SP,campinas,2017-01
59466ea4bc2bfbf77afae0a13dbc8ddd,PA,interior,
d413db520b8e6a45c5d9e2303a5bf4a6,MG,contagem,2017-08
f7fb6a68ee8aecebb27f7d80c322eaaf,RS,porto alegre,
4bd78c14aeeacca7dc319811b625d74e,SP,santos,2018-04
fa0fedd1ce500be96cf01bbbcfac1af9,RJ,niteroi,2017-07
e4fbdc968cd5d7b279ea1ecb6c2fb059,MG,uberlandia,2017-04
beabcee6fb9fa5faf5d6f6fa6c0655ea,PA,interior,
0f1f55ec7fd719b578c9ed37b78eafd3,RJ,niteroi,2017-06
4ce7bf56ff9f91c17a5b5cfe5eeedb72,BA,salvador,2017-08
1eeeda9afafccb30de973f6b5a1bbbe6,SP,santo andre,2017-03
c04ecabc62fc995dfa271ba7b6dbbf6e,DF,brasilia,2017-06
eae3656ab87a22da6f7e2a72ffbaba95,SP,santos,2018-05
114bfc8f6389c50cabbb060df0ab88cd,MG,contagem,2017-09
88c24f858ce7bf23da53dafc5a56737c,ES,vitoria,2017-10
ffd57dc36fbe8da47afe3fa63af0f42a,MG,contagem,2017-06
dea3bf2b33d7d1b9e7b2c88a6bbdcfec,SP,guarulhos,
e8ff61c0fad93aec28dff3c1c29f6c6c,RJ,rio de janeiro,
ca21a4dfab481f5ced4a21f33644d36f,ES,vitoria,2017-07
ced727d3a7d473ca9ddfaa5fda80e5ee,RJ,nova iguacu,
c8a7affeecfa22a2bdca981aac4da87c,SP,santo andre,2017-02
919a2bdbbfcf239ad10ef5bdd9a0da1d,SC,florianopolis,2017-02
8f1ea90e5edc92456bc5b8aa9ab6edee,SP,santos,2018-03
fdc74f866e0d379f0fca5e2dc24fc33b,SP,sao paulo,2017-07
d3dfdae75ca28adeccc38d3ee76d4a5d,SP,guarulhos,2017-03
8ed9b2cacbf8e35a57fafaa7f795603b,DF,brasilia,2017-01
da3b3d0e7646bbe7aedccbb54e8271cb,SP,sao paulo,2017-08
9a2cd609df9ecdaf585d7a6e5b7ebd2a,PA,interior,2017-10
ebb5eac6377a9989a8f7bfa0f4f687b7,SP,campinas,
ccc97cecbf3adfaf7aa47574f5de3e9b,SP,guarulhos,2017-11
1e7bfc90c0c04954e7aeac7dd3b430dc,SP,campinas,2017-05
2ada64fb752a0b8c7ec9c6f1e8ae6e73,SP,campinas,
e18db30d2f2afcb2de6ad2e8dfaac442,SP,guarulhos,2017-07
0ac4df8f959aeb7f47daa2ca5b90b2fc,MG,belo horizonte,2017-09
ca3edc6fe6dfda2e05c6edf193cabe5b,RJ,niteroi,2017-05
c5d93fda6b1afd5caf912acade7e570f,SP,santo andre,2017-06
bdbe0c0e2ebac5c7f591af5b4ac787bc,ES,vitoria,
feec37728cadbdf74c53f04f4d9b36fc,GO,goiania,2017-07
bdffecfac1da9e3cc17d3f1fceafafef,SP,santos,2017-06
ffb8ac463951547e1925d1cf20f076bc,SP,santos,2018-05
eeec892c785b487eebefc2be7bcb8c47,MG,contagem,2017-10
bcbe04a447facd08d26dee7385e83dd5,RJ,nova iguacu,2017-04
8b6c22cdeca2fa25c4ab5d93d0ea446c,SP,campinas,2018-02
0018cca0c0cac8f8e5a5fead9d46af85,MG,uberlandia,2017-01
e432e6cbd14c38b39f8e6ac38b49ad2e,GO,goiania,2018-05
cdf6c52ee20daaacf79c90ae77183dee,SP,sao paulo,2017-02
2fda08d80ef7bcb87efca5ee1e7b2bb2,SP,santo andre,2017-05
bfafaadc9b1f5dc42a4ca58c69e45750,GO,goiania,2017-03
07aaecfad93a9036fd80be3d42837086,RN,interior,2017-06
199475d6efbcc7427df5d5caa0b2ad1a,BA,feira de santana,
9c0530ea1ae3dcda266f932f2dc86fcd,RS,porto alegre,2018-03
ad51f0efa0aee378d8b60f91405a71db,BA,feira de santana,2017-07
71dcd5b6437affa8aeadbee120010609,MG,contagem,2017-03
aa31e0ac9fc01a66ab05d590edc9ea5c,MG,contagem,2017-03
ef37daccfbc8cdfbbc5ceafba7c8ebc4,RJ,niteroi,
0d786deddefa75abaa9cdeff8fa1525c,RJ,niteroi,2018-02
23c4a0bbda047fc59fe23aec98f0bfd2,SP,sao paulo,2017-01
b5b6b75a4ea43cdc1ec3aaf13d9dec8a,SP,santos,2017-02
decaaacccfdb37ffbd1dedd5e754f47e,RJ,rio de janeiro,2017-07
fbf04eeafc6c419fda8237b1c6c5bef4,SP,campinas,
e60e9cc95c893dca0a4e9d70b89431cf,SP,campinas,2017-03
cf8a1e2f11e96c6e56b521ebee3ced5b,SP,santos,2018-05
a180abe8b8bfe7dfaab8bab4d86d9886,PR,londrina,2017-04
0fc176b02ac1bd897d778bcda9becabf,SP,sao paulo,2017-10
1addfcf5cdb7ebeccfbb5b95e6ff1db5,PA,interior,2018-08
955b7ddc21a39debf31a06ceefe1362f,RJ,rio de janeiro,
bce4af01d3f2f6775a9eeea6fde8871c,MG,uberlandia,2017-02
b80acb47eabbdfdd9ebafcba078dbade,GO,goiania,2017-08
bcbce8f3e0975a2ea36539a7a6ffe132,DF,brasilia,2017-06
fa778a2bb44eba1f4eeaa8e40907fee9,MG,belo horizonte,2017-03
aa806423bd22fa72cc116aae1fedcde2,SP,campinas,2017-06
f0b6bb4c14e4b78ce65c29eaf84524e2,SC,florianopolis,
ae9593bcab42663aaa19644dcf5a92be,PR,londrina,2017-08
0426a5bcdefc78dd7c7aba9cf2d5d49f,ES,vitoria,2018-08
d2b5c0feac3afce4c503c4619d0ff8aa,RS,caxias do sul,
9db654aa088bed2fd5fe2aeca2bb52db,SP,sao paulo,2018-05
13ae1fab9de1df03782eea51bdcaae13,SP,santo andre,
49ccdb0ddee415128c2cb0d5c3eaeb8a,MA,interior,
4bf8b44daea6bcbfbe0425fbc6f2dfe7,PB,interior,2017-03
cffedba78ab8cdd04cf02b22de58af56,BA,feira de santana,2017-11
7150aa2be080b5e9fab2a9ceed1d78db,BA,feira de santana,
ceab84ed228f0cbfc16cef95b8dce9db,BA,feira de santana,2017-10
8ce8ffa82af09a6efb4ed75e3dacfcdf,SP,campinas,2017-04
b83cbc5dcc3a0ebdd8f2f8414dcc0e81,MG,uberlandia,2017-03
fceefce1b0ee5f4912e7e4e8aea4fde1,RS,porto alegre,2017-03
edaabe1ceddcc24bf3caaad59cdbdc3e,SP,guarulhos,
07fef831ee1c78ad0ca59d6c03d070da,MG,uberlandia,2017-10
81dfeadabcc9acc2b4f0e7b84d5150d7,RJ,rio de janeiro,2018-04
731e7b7fae73c8cd4bb84fbc88ea58c7,SC,florianopolis,2017-02
bacb59c1f5cfe2eb07ade2da1a2a52cb,BA,salvador,2017-12
fb972cd0b85e5f2ddcbd10704dc426cb,MG,contagem,2017-02
062801553fa03ab1abda7a7da8ce7dbb,PA,interior,2017-10
e5c53ef5cd4c69aead4b6ec55bbdf39c,SP,santos,
bfabc9fffde75bebebb00f581cb7a7de,SP,santo andre,2017-05
9a32ae282e0d027ab95ea4648403ee6b,RJ,rio de janeiro,2018-02
b5934ecb8a2c51a33a12dac63d9f19c9,BA,feira de santana,
a2c592cabb00ebc28a13bbbbe930fffa,SP,santo andre,2017-08
3beecd937153c01592fd0129aae0a55a,CE,fortaleza,2018-03
f3aeac5ca94fbd6c2db1c5dcf341adc2,SP,santos,2017-10
ed63a9d7bec9b903b51aa2cc81d2e13d,SP,sao paulo,2018-03
babbe860d9ec8cfe95b393783ec5d6c0,SP,campinas,
4fd7f05c27c03d6632260460c81aaeaa,SP,santo andre,2018-03
cfd7cfb122d3cbf5ed02a9a4dac895fe,RJ,nova iguacu,2017-04
dcb674bb02c8bdbc49f187d51fe3436f,RJ,nova iguacu,2018-03
d7ede62fbce932345ad79fadba7c3fe3,MG,uberlandia,2017-01
a56eaa0dc831afe1cd8507d0db5fb3d5,MA,interior,2017-10
5d3abedabc9cb3df1f6c2a693801ada8,RJ,niteroi,
a800cddeef2cb4821fd675ecab6bac36,SP,campinas,2017-06
f0978be5d0d8c494c8fc88a059cdcafe,PR,londrina,
76faafe36db2ecc6dde933e7c9bde5a5,MT,interior,
01beb4ff5298eeb8a17cfe2cfdcd2b14,GO,goiania,2018-01
d6a2c1dfef46b4ab073be8f1d4db75ac,RS,caxias do sul,2018-04
d78844cdb7a2afaedd212be2f076ef1f,MG,uberlandia,2017-09
9d790c2942d17aeeeec1f6e46f4d2620,PR,curitiba,
cfa0f5a5effec6cf840a8c374dc1485d,RJ,rio de janeiro,2017-06
6efeaafcf9cc1dd931e5edbd38b1aa0d,DF,brasilia,2017-07
3f8bfabeaafc1fd3da3b7ddef3fa0346,RJ,niteroi,2017-12
c2d5f0b227154fc7b5ca7d2b2103d9df,RJ,niteroi,2017-04
583cb71cbb60f846afc76d34c89c1f5b,PA,interior,2017-08
ef481b454bb51ccb88f8aaec579cdb5a,BA,feira de santana,2017-09
8c3c59f38ff58e6feec5deb666f1c4a4,AL,interior,2018-08
f97a3da29f84061ced739b0e7bf0eafa,PE,recife,2018-06
f7de453ea9f4bd07afdcb449bfa21f14,GO,goiania,2017-01
ffff33f02d53cea3bfd4a714df7818cd,SP,santo andre,2017-09
07cbee89f1ce790e2fd47c74a035930d,PR,londrina,2018-03
7ceefdf622a74eebe32121cba8fcaeaf,RS,caxias do sul,2017-12
3f44fdf3733946fcdedcc78e99675dea,PE,recife,
23ffa913caa6c76f97b2b006cc81f410,SP,campinas,2017-01
64c3e2c4a48e059cbfb8cc0bfefdc6af,SP,campinas,
7c2400489a2db8b99bd7b5a3e41deac5,BA,feira de santana,2018-03
752bdce17bbe3ed7d13dbcf8a65baead,CE,fortaleza,2018-01
a33a85493763887bdec44afb466dc6ca,RS,porto alegre,2017-07
d71b2ece361efa436af89af38cfee087,SP,sao paulo,2017-06
2cb5b8face08cbe9b567a88e86adf4e2,SP,sao paulo,2017-06
1d90f300eab48d0d735b5fec39b3ba19,BA,salvador,2017-07
3b3df3eca4dadcb7eaf8da20afc3debc,SP,guarulhos,2017-11
ddd37ded0963c05aa9cf19daccd6e57d,SP,campinas,2017-03
f08cd0b5c724cbcdb76bcda5cfc9d0e9,BA,salvador,2018-07
0d48f156e5de8679d8e3e8b277dd3ea4,BA,salvador,
8eee1faeeda3abc577ec3c6e7f68f781,PR,curitiba,2017-03
4b9d14cbd4ebbdbc73b46c4f62f8c474,SP,sao paulo,2017-04
bcacb5ef3fb9bd366eb6adefc9cdcd7f,SP,campinas,2017-10
b8b1fe4bac215fab6ecd0bedcccc9c83,RJ,rio de janeiro,2017-01
cf7b2b26124a8debb4a3947f857b1077,SC,florianopolis,2017-09
6b851f902faed4bbe95ff0ec2f0399eb,GO,goiania,2017-04
bd2a9d0fbffbaccba064bb1ac9af458a,SP,santos,
c5c38bce1ad2d3abacaaafdc431a6365,SP,santos,2017-06
61a3fc0b4a4be324bcaa1832b5df682a,SP,santo andre,2017-08
d44e72ea1acf0f2ec7b202c2fbe2bb8a,RN,interior,2017-02
8fdcbf6599eb2cb793c3f4ffad77da00,RS,porto alegre,2017-10
8ba6feedca551ebfbf522ce12d7ec85b,RS,porto alegre,2017-03
ebdaf3d3bb15725ee46e4f0632aec7cf,SP,santos,
f0a97faaf581dedf94d8f2158fbff6c5,PR,londrina,2017-05
acece70f2bba635db669a8321b95a77c,SP,sao paulo,2017-02
bf33d6e6b4c286ab0ea2ad8f41f29cde,SP,guarulhos,2017-08
ded1f7732a3bd9aabd14299cbbac24da,RN,interior,2018-02
dacc5e0bf79f5ce8ad37acdc80e48ffe,BA,feira de santana,2017-04
5c27cd6a5facc9f757ae2c19ab2daa27,RS,caxias do sul,2017-01
6fbbd616cfe8335af839ccf9929df3ec,SP,campinas,2018-01
caf7c9504e79abda7591f0cb3348ca41,MT,interior,2017-04
2f5e5c1cd9daeb1e9bdfe644c4e842b3,MG,uberlandia,2017-10
1cf9ec93e74add890c9b9a79d3ceecc3,PR,curitiba,2017-09
48bccf44b43c8390b7abe2cba1d1ba8d,MA,interior,2017-02
52dfd99a0c3ab5d54f1fc765f3c25cb9,SP,guarulhos,2017-04
2de3ab691beb7b4a3bffa83a5aeb7ece,RJ,niteroi,
8c9285c7cf741ce051a1484d26a1d801,RJ,nova iguacu,2017-12
5ff6ef86b2aaae87eda9fbd3fcdbac2c,SP,guarulhos,2017-03
f3ba5ef07b7dae3867c0bc4b596cda6a,SP,sao paulo,2017-02
0b7fec8659d0d5559b48ee08fd2e449c,RJ,rio de janeiro,
f1ecaab8f08411acfd04bcabdecb323f,RS,porto alegre,2017-06
17b48fbf5cbbe513deaab9be88eee7ec,RJ,niteroi,2018-07
ceacc7ee03bc7cea61b9d2ddc3a80020,RJ,niteroi,2017-02
80c59ce1de92a57cd674a5afbbb6058f,MG,contagem,2017-05
839d0919ec3d8fdee3edec4aad8bf94e,SP,guarulhos,2017-12
ac424ba3db2dbec83be2d7fe1475ca9d,RJ,rio de janeiro,2017-03
6b65f6feadc21a43af19aa30fcacfcb4,RJ,rio de janeiro,2017-05
f3b758f0bc707aab7c5fde5ee1aa105c,MG,uberlandia,2017-12
1d69ddf794eda50ddacabfcf03ffddbf,MG,uberlandia,2017-01
ff1bdaed1a6accac9bbf285fce7f38a6,RS,caxias do sul,2018-08
7faa8ad52e481f92f7ba67bfc37af667,RS,porto alegre,
ad827f881fe15fe9b61bc8364c6c185a,BA,salvador,2017-01
fffcb15cb2407a4c3ff4f4f854c2538b,MG,uberlandia,2017-04
771cf28e99fd4f20cbf43b9dbeaa4e9f,RS,caxias do sul,
c0ec00f4bfdbedbea696ac2effcacb6f,SP,guarulhos,2017-07
50f49afd34dbee6ce38abacbbd29ee1e,SC,florianopolis,2017-02
c31809779be7eb87ad7f3a6089bbbc61,PE,recife,2017-05
10faba4fb615cc91dddedd26fc27db6e,RJ,nova iguacu,2018-05
c04602aeabadf26b95db30bfc7edfb6c,MG,belo horizonte,2017-05
dccc9ccee5a3e2de033ac1fbf66bbe1d,SP,santo andre,2017-02
9bcff83de3ebdd71dc3cbb8eab2beae8,GO,goiania,2018-01
9aaced27dea9d7ebdeabf608b4f66a1e,SP,campinas,2018-04
c9ceb14274aed7e8f3eee5bfb40c1cee,SP,santo andre,2017-02
0033b2c1c6f5ace8df5cfb6a2bcb6e54,SP,santos,2017-06
c0d499497a2dd7d686035c1687d3bb28,SP,guarulhos,
e5ca3e50a55578a1f6c325babc61d007,SP,santo andre,2017-11
c8cc39c4ef85f48144bdff7fee362638,SP,santos,2017-05
25338fb3a5c9626b6bd905b95aac799e,SP,santos,2017-06
f3dbee8fe7cff8adcda34ea8e32a3aee,DF,brasilia,
5a421fbbe6dbfd0d864226bd6b8763cc,SP,sao paulo,2017-11
0f27b08fc5ca1455aece4fb21cb5afda,SP,guarulhos,2017-10
6531711af2ce2e81b2f1a42fc6c02de0,SP,campinas,2017-03
e261f1779ef41cb7f3ead0d6f1fcddbe,SP,guarulhos,2018-02
ce6c0cbf930f9bd0eb9defb223a3b27b,AL,interior,
ab2cb92fefc0ab0e01d26de517abbde5,BA,feira de santana,2017-08
bcfebd6ab6cacd9ef73db0117a5a8d17,PR,curitiba,
92275dd77acc03ab0681f4ed7d7ec7bb,PR,curitiba,2017-11
2530be7402c25584d1110fe9847fef1a,RS,porto alegre,2017-11
ef99913ad92b31f7c81f1212ace0da97,SP,santos,2017-08
c84fab5acba71fde32be087f849b4d13,MG,belo horizonte,
c19299ad5709b5dd1c6ded4b6accefa0,SP,campinas,2017-03
843cfb42fdc0e1de6e2bbd4f4ce8ebef,GO,goiania,
abbff1d4bbea0516518d7fc4d2b467b4,AM,interior,2017-01
9cf449a070fb85e177fb5efcda3383ab,GO,goiania,2017-02
ba4ebcadcea4dcebaee2db32aee4b191,AM,interior,2017-04
b5650f3ecef8f4a4f2115ffa76e9a7bc,RJ,nova iguacu,2017-04
b9dce53d2fa3e93b6b5ddfa20bfae081,RJ,niteroi,2017-02
bfb6cf3ee7e1bead1a15499593e0b1fe,SC,joinville,2018-01
da8cea2b9f2a8debf95bde0a8bea8d49,RJ,niteroi,2017-01
fb6eee6b2e8acce3fcd72b12fb0d70f4,SP,sao paulo,2017-08
d030ba4ebbde95b95ea60bab2e68edde,SP,campinas,
98663cbab0bd5bead4c55f9d7b7ab71f,SP,sao paulo,2018-01
67ef2441ddaffcadc71fd2570f37db39,SP,santos,2017-05
c9498f316affaaa52a052fe80d1c1c5b,RJ,niteroi,2017-03
d561ecb5527884d27cad41c469d4bdfc,MG,contagem,2017-04
ab203b90e7dda84560f0b8b5adda671d,SP,sao paulo,2017-11
5e3b3aaf1a82b990beeeffadabfe9407,SP,campinas,2017-02
9a59f2ab939c828ce940742bca6f33fe,RS,caxias do sul,2018-01
